,,z/nm,(kJ/mol),E/ kbT,density,,,,,
,,0.998,-0.58468,-0.233872,1.2634827561,,,,,
,,1,-0.62147,-0.248588,1.2822136522,,,,,
,,1.002,-0.65764,-0.263056,1.3008995673,,,,,
,,1.004,-0.68677,-0.274708,1.316146304,,,,,
,,1.006,-0.71385,-0.28554,1.3304802935,,,,,
,,1.008,-0.72803,-0.291212,1.3380482201,,,,,
,,1.01,-0.75201,-0.300804,1.3509445305,,,,,
,,1.012,-0.773,-0.3092,1.3623348102,,,,,
,,1.014,-0.78603,-0.314412,1.3694538353,,,,,
,,1.016,-0.79724,-0.318896,1.3756082542,,,,,
,,1.018,-0.80254,-0.321016,1.3785276372,,,,,
,,1.02,-0.80352,-0.321408,1.3790681259,,,,,
,,1.022,-0.80502,-0.322008,1.3798958151,,,,,
,,1.024,-0.80192,-0.320768,1.3781858047,,,,,
,,1.026,-0.80483,-0.321932,1.379790947,,,,,
,,1.028,-0.80804,-0.323216,1.3815637364,,,,,
,,1.03,-0.80404,-0.321616,1.3793550019,,,,,
,,1.032,-0.80352,-0.321408,1.3790681259,,,,,
,,1.034,-0.80836,-0.323344,1.3817405879,,,,,
,,1.036,-0.81119,-0.324476,1.3833056039,,,,,
,,1.038,-0.81258,-0.325032,1.3840749357,,,,,
,,1.04,-0.81589,-0.326356,1.3859086645,,,,,
,,1.042,-0.81551,-0.326204,1.3856980224,,,,,
,,1.044,-0.81753,-0.327012,1.3868181189,,,,,
,,1.046,-0.81817,-0.327268,1.3871731898,,,,,
,,1.048,-0.82026,-0.328104,1.3883333515,,,,,
,,1.05,-0.80758,-0.323032,1.3813095521,,,,,
,,1.052,-0.80726,-0.322904,1.3811327558,,,,,
,,1.054,-0.80604,-0.322416,1.3804589274,,,,,
,,1.056,-0.80979,-0.323916,1.3825311696,,,,,
,,1.058,-0.80519,-0.322076,1.3799896512,,,,,
,,1.06,-0.80296,-0.321184,1.3787592493,,,,,
,,1.062,-0.80653,-0.322612,1.3807295239,,,,,
,,1.064,-0.80536,-0.322144,1.3800834937,,,,,
,,1.066,-0.80425,-0.3217,1.3794708726,,,,,
,,1.068,-0.80177,-0.320708,1.378103116,,,,,
,,1.07,-0.79154,-0.316616,1.3724754402,,,,,
,,1.072,-0.77337,-0.309348,1.3625364507,,,,,
,,1.074,-0.76063,-0.304252,1.3556106269,,,,,
,,1.076,-0.7454,-0.29816,1.347377351,,,,,
,,1.078,-0.7283,-0.29132,1.3381927371,,,,,
,,1.08,-0.71482,-0.285928,1.33099662,,,,,
,,1.082,-0.70089,-0.280356,1.3236009304,,,,,
,,1.084,-0.68935,-0.27574,1.3175052681,,,,,
,,1.086,-0.67685,-0.27074,1.3109341832,,,,,
,,1.088,-0.6677,-0.26708,1.3061449337,,,,,
,,1.09,-0.66037,-0.264148,1.3023209255,,,,,
,,1.092,-0.65291,-0.261164,1.2984405922,,,,,
,,1.094,-0.64317,-0.257268,1.2933917093,,,,,
,,1.096,-0.63264,-0.253056,1.2879554003,,,,,
,,1.098,-0.61675,-0.2467,1.2797951166,,,,,
,,1.1,-0.60163,-0.240652,1.272078275,,,,,
,,1.102,-0.58225,-0.2329,1.2622552475,,,,,
,,1.104,-0.55871,-0.223484,1.2504256333,,,,,
,,1.106,-0.53707,-0.214828,1.2396486591,,,,,
,,1.108,-0.51303,-0.205212,1.2277853279,,,,,
,,1.11,-0.49198,-0.196792,1.2174907763,,,,,
,,1.112,-0.47318,-0.189272,1.2083695843,,,,,
,,1.114,-0.45591,-0.182364,1.2000509329,,,,,
,,1.116,-0.44307,-0.177228,1.193903272,,,,,
,,1.118,-0.43708,-0.174832,1.1910461041,,,,,
,,1.12,-0.42537,-0.170148,1.1854802894,,,,,
,,1.122,-0.41775,-0.1671,1.1818724466,,,,,
,,1.124,-0.40415,-0.16166,1.1754605168,,,,,
,,1.126,-0.38855,-0.15542,1.1681484805,,,,,
,,1.128,-0.3701,-0.14804,1.1595592778,,,,,
,,1.13,-0.34827,-0.139308,1.1494780847,,,,,
,,1.132,-0.3228,-0.12912,1.1378266552,,,,,
,,1.134,-0.2882,-0.11528,1.1221876061,,,,,
,,1.136,-0.25941,-0.103764,1.1093386201,,,,,
,,1.138,-0.23087,-0.092348,1.0967464234,,,,,
,,1.14,-0.20009,-0.080036,1.0833260667,,,,,
,,1.142,-0.17629,-0.070516,1.0730617383,,,,,
,,1.144,-0.15785,-0.06314,1.0651759534,,,,,
,,1.146,-0.14126,-0.056504,1.0581308473,,,,,
,,1.148,-0.13449,-0.053796,1.0552693053,,,,,
,,1.15,-0.12095,-0.04838,1.0495694159,,,,,
,,1.152,-0.10606,-0.042424,1.0433367598,,,,,
,,1.154,-0.0939,-0.03756,1.0382742917,,,,,
,,1.156,-0.08765,-0.03506,1.0356818478,,,,,
,,1.158,-0.08342,-0.033368,1.0339309558,,,,,
,,1.16,-0.08247,-0.032988,1.0335381367,,,,,
,,1.162,-0.07664,-0.030656,1.0311307339,,,,,
,,1.164,-0.08064,-0.032256,1.0327818636,,,,,
,,1.166,-0.08069,-0.032276,1.0328025195,,,,,
,,1.168,-0.08182,-0.032728,1.0332694517,,,,,
,,1.17,-0.07747,-0.030988,1.0314731261,,,,,
,,1.172,-0.08179,-0.032716,1.0332570526,,,,,
,,1.174,-0.08868,-0.035472,1.0361086367,,,,,
,,1.176,-0.09193,-0.036772,1.0374564538,,,,,
,,1.178,-0.094,-0.0376,1.0383158235,,,,,
,,1.18,-0.08685,-0.03474,1.0353504827,,,,,
,,1.182,-0.0813,-0.03252,1.033054554,,,,,
,,1.184,-0.07135,-0.02854,1.0289511681,,,,,
,,1.186,-0.05804,-0.023216,1.023487589,,,,,
,,1.188,-0.04063,-0.016252,1.0163847821,,,,,
,,1.19,-0.02697,-0.010788,1.0108464003,,,,,
,,1.192,-0.01766,-0.007064,1.0070890089,,,,,
,,1.194,-0.01079,-0.004316,1.0043253273,,,,,
,,1.196,-0.00895,-0.00358,1.0035864159,,,,,
,,1.198,-0.01508,-0.006032,1.0060502291,,,,,
,,1.2,-0.02816,-0.011264,1.0113276777,,,,,
