# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.747000, -0.772626
  0.748000, -0.761404
  0.749000, -0.750182
  0.750000, -0.738979
  0.751000, -0.727775
  0.752000, -0.716973
  0.753000, -0.706171
  0.754000, -0.695048
  0.755000, -0.683925
  0.756000, -0.673222
  0.757000, -0.662518
  0.758000, -0.651895
  0.759000, -0.641272
  0.760000, -0.630989
  0.761000, -0.620705
  0.762000, -0.610502
  0.763000, -0.600299
  0.764000, -0.590194
  0.765000, -0.580090
  0.766000, -0.569745
  0.767000, -0.559400
  0.768000, -0.549616
  0.769000, -0.539833
  0.770000, -0.530228
  0.771000, -0.520624
  0.772000, -0.511100
  0.773000, -0.501576
  0.774000, -0.492471
  0.775000, -0.483367
  0.776000, -0.474263
  0.777000, -0.465158
  0.778000, -0.456153
  0.779000, -0.447147
  0.780000, -0.438543
  0.781000, -0.429939
  0.782000, -0.421834
  0.783000, -0.413730
  0.784000, -0.405626
  0.785000, -0.397521
  0.786000, -0.389516
  0.787000, -0.381510
  0.788000, -0.373906
  0.789000, -0.366302
  0.790000, -0.358796
  0.791000, -0.351291
  0.792000, -0.344186
  0.793000, -0.337082
  0.794000, -0.330397
  0.795000, -0.323713
  0.796000, -0.317108
  0.797000, -0.310504
  0.798000, -0.303999
  0.799000, -0.297493
  0.800000, -0.291808
  0.801000, -0.286124
  0.802000, -0.280020
  0.803000, -0.273915
  0.804000, -0.268731
  0.805000, -0.263546
  0.806000, -0.258361
  0.807000, -0.253177
  0.808000, -0.247992
  0.809000, -0.242808
  0.810000, -0.238524
  0.811000, -0.234241
  0.812000, -0.229877
  0.813000, -0.225513
  0.814000, -0.221329
  0.815000, -0.217144
  0.816000, -0.213361
  0.817000, -0.209577
  0.818000, -0.206213
  0.819000, -0.202850
  0.820000, -0.199566
  0.821000, -0.196283
  0.822000, -0.193419
  0.823000, -0.190555
  0.824000, -0.188012
  0.825000, -0.185470
  0.826000, -0.183007
  0.827000, -0.180544
  0.828000, -0.178582
  0.829000, -0.176619
  0.830000, -0.174897
  0.831000, -0.173175
  0.832000, -0.171614
  0.833000, -0.170052
  0.834000, -0.168509
  0.835000, -0.166966
  0.836000, -0.165825
  0.837000, -0.164683
  0.838000, -0.163862
  0.839000, -0.163041
  0.840000, -0.162319
  0.841000, -0.161597
  0.842000, -0.161177
  0.843000, -0.160758
  0.844000, -0.160437
  0.845000, -0.160116
  0.846000, -0.159795
  0.847000, -0.159474
  0.848000, -0.159554
  0.849000, -0.159635
  0.850000, -0.159734
  0.851000, -0.159832
  0.852000, -0.160332
  0.853000, -0.160832
  0.854000, -0.161234
  0.855000, -0.161635
  0.856000, -0.162536
  0.857000, -0.163437
  0.858000, -0.164258
  0.859000, -0.165079
  0.860000, -0.165980
  0.861000, -0.166881
  0.862000, -0.168022
  0.863000, -0.169164
  0.864000, -0.170386
  0.865000, -0.171608
  0.866000, -0.172731
  0.867000, -0.173854
  0.868000, -0.175477
  0.869000, -0.177100
  0.870000, -0.178643
  0.871000, -0.180186
  0.872000, -0.181729
  0.873000, -0.183272
  0.874000, -0.184815
  0.875000, -0.186357
  0.876000, -0.187900
  0.877000, -0.189443
  0.878000, -0.190986
  0.879000, -0.192529
  0.880000, -0.193973
  0.881000, -0.195417
  0.882000, -0.197280
  0.883000, -0.199144
  0.884000, -0.200909
  0.885000, -0.202674
  0.886000, -0.204217
  0.887000, -0.205759
  0.888000, -0.207444
  0.889000, -0.209129
  0.890000, -0.210671
  0.891000, -0.212214
  0.892000, -0.213979
  0.893000, -0.215744
  0.894000, -0.217509
  0.895000, -0.219273
  0.896000, -0.221038
  0.897000, -0.222803
  0.898000, -0.224167
  0.899000, -0.225530
  0.900000, -0.227295
  0.901000, -0.229060
  0.902000, -0.230726
  0.903000, -0.232392
  0.904000, -0.233756
  0.905000, -0.235119
  0.906000, -0.236464
  0.907000, -0.237809
  0.908000, -0.239494
  0.909000, -0.241179
  0.910000, -0.242524
  0.911000, -0.243869
  0.912000, -0.245133
  0.913000, -0.246398
  0.914000, -0.248064
  0.915000, -0.249730
  0.916000, -0.250995
  0.917000, -0.252260
  0.918000, -0.253605
  0.919000, -0.254950
  0.920000, -0.256214
  0.921000, -0.257479
  0.922000, -0.258503
  0.923000, -0.259528
  0.924000, -0.260471
  0.925000, -0.261415
  0.926000, -0.262661
  0.927000, -0.263908
  0.928000, -0.264852
  0.929000, -0.265795
  0.930000, -0.266499
  0.931000, -0.267202
  0.932000, -0.268047
  0.933000, -0.268892
  0.934000, -0.269817
  0.935000, -0.270743
  0.936000, -0.271366
  0.937000, -0.271989
  0.938000, -0.272593
  0.939000, -0.273197
  0.940000, -0.273802
  0.941000, -0.274406
  0.942000, -0.275029
  0.943000, -0.275652
  0.944000, -0.276257
  0.945000, -0.276861
  0.946000, -0.277064
  0.947000, -0.277268
  0.948000, -0.277551
  0.949000, -0.277835
  0.950000, -0.278118
  0.951000, -0.278402
  0.952000, -0.278605
  0.953000, -0.278808
  0.954000, -0.278771
  0.955000, -0.278733
  0.956000, -0.279017
  0.957000, -0.279300
  0.958000, -0.278942
  0.959000, -0.278584
  0.960000, -0.278367
  0.961000, -0.278151
  0.962000, -0.278113
  0.963000, -0.278076
  0.964000, -0.277718
  0.965000, -0.277360
  0.966000, -0.276921
  0.967000, -0.276483
  0.968000, -0.276025
  0.969000, -0.275568
  0.970000, -0.275130
  0.971000, -0.274691
  0.972000, -0.274234
  0.973000, -0.273777
  0.974000, -0.273018
  0.975000, -0.272258
  0.976000, -0.271400
  0.977000, -0.270542
  0.978000, -0.269863
  0.979000, -0.269184
  0.980000, -0.268004
  0.981000, -0.266825
  0.982000, -0.265967
  0.983000, -0.265109
  0.984000, -0.264029
  0.985000, -0.262948
  0.986000, -0.261448
  0.987000, -0.259948
  0.988000, -0.258689
  0.989000, -0.257430
  0.990000, -0.255930
  0.991000, -0.254430
  0.992000, -0.252930
  0.993000, -0.251430
  0.994000, -0.249751
  0.995000, -0.248071
  0.996000, -0.246491
  0.997000, -0.244911
  0.998000, -0.243331
  0.999000, -0.241751
  1.000000, -0.240071
  1.001000, -0.238392
  1.002000, -0.236491
  1.003000, -0.234590
  1.004000, -0.232590
  1.005000, -0.230590
  1.006000, -0.228510
  1.007000, -0.226430
  1.008000, -0.224529
  1.009000, -0.222627
  1.010000, -0.220547
  1.011000, -0.218467
  1.012000, -0.216066
  1.013000, -0.213665
  1.014000, -0.211486
  1.015000, -0.209307
  1.016000, -0.206825
  1.017000, -0.204344
  1.018000, -0.202165
  1.019000, -0.199986
  1.020000, -0.197504
  1.021000, -0.195023
  1.022000, -0.192523
  1.023000, -0.190023
  1.024000, -0.187542
  1.025000, -0.185060
  1.026000, -0.182480
  1.027000, -0.179900
  1.028000, -0.177320
  1.029000, -0.174740
  1.030000, -0.172159
  1.031000, -0.169579
  1.032000, -0.166919
  1.033000, -0.164258
  1.034000, -0.161579
  1.035000, -0.158900
  1.036000, -0.156240
  1.037000, -0.153579
  1.038000, -0.150999
  1.039000, -0.148419
